movie_title,release_year
Spotlight,2015
The Big Short,2015
Bridge of Spies,2015
Brooklyn,2015
Mad Max: Fury Road,2015
The Martian,2015
The Revenant,2015
Room,2015
Birdman,2014
American Sniper,2014
Boyhood,2014
The Grand Budapest Hotel,2014
The Imitation Game,2014
Selma,2014
The Theory of Everything,2014
Whiplash,2014
12 Years a Slave,2013
American Hustle,2013
Captain Phillips,2013
Dallas Buyers Club,2013
Gravity,2013
Her,2013
Nebraska,2013
Philomena,2013
The Wolf of Wall Street,2013
Argo,2012
Amour,2012
Beasts of the Southern Wild,2012
Django Unchained,2012
Les Miserables,2012
Life of Pi,2012
Lincoln,2012
Silver Linings Playbook,2012
Zero Dark Thirty,2012
The Artist,2011
The Descendants,2011
Extremely Loud and Incredibly Close,2011
The Help,2011
Hugo,2011
Midnight in Paris,2011
Moneyball,2011
The Tree of Life,2011
War Horse,2011
The King's Speech,2010
127 Hours,2010
Black Swan,2010
The Fighter,2010
Inception,2010
The Kids Are All Right,2010
The Social Network,2010
Toy Story 3,2010
True Grit,2010
Winter's Bone,2010
The Hurt Locker,2009
Avatar,2009
The Blind Side,2009
District 9,2009
An Education,2009
Inglourious Basterds,2009
Precious,2009
A Serious Man,2009
Up,2009
Up in the Air,2009
Slumdog Millionaire,2008
The Curious Case of Benjamin Button,2008
Frost/Nixon,2008
Milk,2008
The Reader,2008
No Country for Old Men,2007
Atonement,2007
Juno,2007
Michael Clayton,2007
There Will Be Blood,2007
The Departed,2006
Babel,2006
Letters from Iwo Jima,2006
Little Miss Sunshine,2006
The Queen,2006
Crash,2005
Brokeback Mountain,2005
Capote,2005
Good Night and Good Luck,2005
Munich,2005
Million Dollar Baby,2004
The Aviator,2004
Finding Neverland,2004
Ray,2004
Sideways,2004
The Lord of the Rings: The Return of the King,2003
Lost in Translation,2003
Master and Commander,2003
Mystic River,2003
Seabiscuit,2003
Chicago,2002
Gangs of New York,2002
The Hours,2002
The Lord of the Rings: The Two Towers,2002
The Pianist,2002
A Beautiful Mind,2001
Gosford Park,2001
In The Bedroom,2001
The Lord of the Rings: Fellowship of the Ring,2001
Moulin Rouge,2001
Gladiator,2000
Chocolat,2000
Crouching Tiger, Hidden Dragon,2000
Erin Brockovich,2000
Traffic,2000
